family,backend,keep_rate,n,accuracy,agree_with_ref,needle_retained_rate,accuracy_given_needle_retained,n_needle_retained,keep_rate_effective,scorer_ms,target_prompt_ms,net_ttft_ms,speedup_vs_full
niah_single,none,1.0,9,1.0,1.0,1.0,1.0,9,1.0,0.0,35026.27733333333,35026.27733333333,1.0
niah_multi,none,1.0,9,0.7777777777777778,1.0,1.0,0.7777777777777778,9,1.0,0.0,35102.095111111106,35102.095111111106,1.0
niah_distractor,none,1.0,9,1.0,1.0,1.0,1.0,9,1.0,0.0,35080.124444444446,35080.124444444446,1.0
repoqa,none,1.0,9,0.8888888888888888,1.0,0.8888888888888888,1.0,8,1.0,0.0,39729.42677777778,39729.42677777778,1.0
summ_probe,none,1.0,9,1.0,1.0,1.0,1.0,9,1.0,0.0,36085.57133333333,36085.57133333333,1.0
niah_single,last,0.5,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.5454765751009315,474.1364899608824,18029.067777777775,18503.20426773866,1.8298760746947247
niah_single,last,0.35,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6,0.40841721298436007,468.9205310617884,13176.658,13645.578531061787,2.4460918423472133
niah_single,last,0.25,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,6,0.3170533075963327,468.35251887225445,10028.107,10496.459518872254,3.1437704471893597
niah_single,last,0.15,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,1.0,4,0.2272479569590501,467.98648964613676,6954.015666666667,7422.002156312804,4.377308928116427
niah_single,last,0.1,9,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,8,0.1812660495910597,465.64696077257395,5427.899222222221,5893.546182994795,5.480358377978227
niah_single,random,0.5,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.569442753445121,466.9140674587753,18820.936777777777,19287.85084523655,1.7594678396080363
niah_single,random,0.35,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.42931344762434326,462.1079232957628,13861.72288888889,14323.830812184653,2.3364235510544087
niah_single,random,0.25,9,1.0,1.0,1.0,1.0,9,0.3324152967736491,470.021003857255,10506.113444444441,10976.134448301696,3.012460031383932
niah_single,random,0.15,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,1.0,7,0.2370940676027342,470.25924858947593,7272.638888888889,7742.898137478365,4.2102563952880505
