config	spec_type	n_max	p_min	decode_ts	prompt_ts	accept	n_acc	n_gen	mean_len	acc_per_pos	vram_mib	note
nospec	none	0	-	20.3000	317.6475	-	-	-	-	-	11132	ntok=400.0000
mtp_n1	draft-mtp	1	-	31.7650	278.4225	0.9369	193.0000	206.0000	1.9400	-	11354	ntok=400.0000
mtp_n2	draft-mtp	2	-	35.2550	277.2075	0.8179	247.0000	302.0000	2.6400	-	11510	ntok=400.0000
mtp_n3	draft-mtp	3	-	35.6725	276.0150	0.7237	272.5000	377.0000	3.1650	-	11664	ntok=400.0000
mtp_n4	draft-mtp	4	-	34.6525	275.7025	0.6187	284.0000	459.0000	3.4700	-	11816	ntok=400.0000
mtp_n5	draft-mtp	5	-	35.2200	274.5950	0.6135	300.0000	489.0000	4.0600	-	11968	ntok=400.0000
mtp_n4_pmin030	draft-mtp	4	0.30	33.0500	274.5825	0.5920	277.5000	468.7500	3.3050	-	11816	ntok=400.0000
mtp_n4_pmin050	draft-mtp	4	0.50	36.0225	275.5350	0.7151	283.0000	396.0000	3.5500	-	11816	ntok=400.0000
mtp_n4_pmin075	draft-mtp	4	0.75	35.3225	275.8175	0.8907	262.7500	295.0000	3.5725	-	11816	ntok=400.0000
mtp_n2_pmin050	draft-mtp	2	0.50	32.9500	275.9275	0.7920	236.0000	298.0000	2.5200	-	11510	ntok=400.0000
ngram_only	ngram-mod	4	-	147.6325	315.2550	0.8860	332.0000	375.7500	56.6675	-	10722	ntok=400.0000
mtp_n2_ngram	draft-mtp,ngram-mod	2	-	143.5700	277.5500	0.8461	369.5000	436.5000	22.7025	-	11538	ntok=400.0000
ngram_mtp_n2	ngram-mod,draft-mtp	2	-	143.7550	275.0050	0.8461	369.5000	436.5000	22.7025	-	11538	ntok=400.0000
ngram_n1	ngram-mod	1	-	148.1775	316.5400	0.8860	332.0000	375.7500	56.6675	-	10722	ntok=400.0000
ngmod_d1	ngram-mod	1	-	26.4625	316.8775	1.0000	166.5000	166.5000	2.0000	-	-	ntok=400.0000
ngmod_d2	ngram-mod	2	-	36.9150	315.2400	1.0000	264.0000	264.0000	3.0000	-	-	ntok=400.0000
ngmod_d4	ngram-mod	4	-	43.6525	315.6700	0.9879	281.5000	285.0000	4.9525	-	-	ntok=400.0000
ngmod_d8	ngram-mod	8	-	66.9700	316.1125	0.9938	303.0000	304.0000	8.9500	-	-	ntok=400.0000
mtp_n7	draft-mtp	7	-	-	-	-	-	-	-	-	-	ntok=-
novel_nospec	none	0	-	20.2220	166.5040	-	-	-	-	-	-	ntok=400.0000
novel_mtp_n3	draft-mtp	0	-	32.0660	138.2140	0.6161	258.2000	419.8000	2.8400	-	-	ntok=400.0000
novel_ngram	ngram-mod	0	-	20.1620	167.6020	-	-	-	-	-	-	ntok=400.0000
novel_mtp3_ngram	draft-mtp,ngram-mod	0	-	32.0440	139.0880	0.6161	258.2000	419.8000	2.8400	-	-	ntok=400.0000
novel_mtp_n4_pmin050	draft-mtp	0	-	33.0820	139.5360	0.6775	268.2000	396.6000	3.3000	-	-	ntok=400.0000
